TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Boston Celtics,102.2,102.6,-0.5,0.542,2012-13
Brooklyn Nets,106.9,104.8,2.0,0.536,2012-13
Charlotte Bobcats,100.4,110.3,-9.9,0.507,2012-13
Chicago Bulls,102.4,101.9,0.5,0.512,2012-13
Cleveland Cavaliers,103.2,108.2,-5.0,0.514,2012-13
Dallas Mavericks,104.7,105.4,-0.6,0.544,2012-13
Denver Nuggets,109.3,104.2,5.1,0.549,2012-13
Detroit Pistons,102.7,107.2,-4.5,0.521,2012-13
Golden State Warriors,105.1,104.2,0.9,0.545,2012-13
Houston Rockets,108.8,105.3,3.5,0.564,2012-13
Indiana Pacers,103.4,99.0,4.4,0.521,2012-13
Los Angeles Clippers,109.8,102.8,6.9,0.557,2012-13
Los Angeles Lakers,107.0,105.9,1.1,0.548,2012-13
Memphis Grizzlies,103.6,99.1,4.5,0.514,2012-13
Miami Heat,111.4,103.2,8.2,0.588,2012-13
Milwaukee Bucks,102.5,104.2,-1.7,0.51,2012-13
Minnesota Timberwolves,101.8,104.0,-2.2,0.516,2012-13
New Orleans Hornets,104.5,108.9,-4.4,0.528,2012-13
New York Knicks,109.8,105.4,4.5,0.55,2012-13
Oklahoma City Thunder,111.0,101.2,9.9,0.58,2012-13
Orlando Magic,100.9,108.4,-7.4,0.514,2012-13
Philadelphia 76ers,101.0,104.7,-3.7,0.509,2012-13
Phoenix Suns,100.2,106.9,-6.7,0.512,2012-13
Portland Trail Blazers,104.5,107.9,-3.4,0.536,2012-13
Sacramento Kings,105.3,110.0,-4.7,0.532,2012-13
San Antonio Spurs,107.0,100.3,6.7,0.568,2012-13
Toronto Raptors,105.0,106.4,-1.4,0.532,2012-13
Utah Jazz,105.4,105.6,-0.2,0.533,2012-13
Washington Wizards,99.3,101.6,-2.3,0.512,2012-13
Atlanta Hawks,104.9,105.7,-0.7,0.554,2013-14
Boston Celtics,101.9,106.5,-4.6,0.517,2013-14
Brooklyn Nets,105.4,106.7,-1.3,0.555,2013-14
Charlotte Bobcats,103.0,103.3,-0.4,0.522,2013-14
Chicago Bulls,101.7,99.9,1.9,0.518,2013-14
Cleveland Cavaliers,103.5,107.0,-3.6,0.518,2013-14
Dallas Mavericks,109.5,107.2,2.3,0.564,2013-14
Denver Nuggets,105.1,107.3,-2.2,0.536,2013-14
Detroit Pistons,105.2,109.0,-3.7,0.514,2013-14
Golden State Warriors,106.3,101.4,4.9,0.55,2013-14
Houston Rockets,109.8,105.2,4.6,0.571,2013-14
Indiana Pacers,103.6,98.9,4.7,0.535,2013-14
Los Angeles Clippers,111.3,104.0,7.3,0.567,2013-14
Los Angeles Lakers,103.2,109.3,-6.0,0.542,2013-14
Memphis Grizzlies,105.5,103.8,1.7,0.529,2013-14
Miami Heat,110.0,105.0,5.1,0.59,2013-14
Milwaukee Bucks,101.9,110.2,-8.3,0.519,2013-14
Minnesota Timberwolves,107.7,105.2,2.6,0.535,2013-14
New Orleans Pelicans,106.2,109.1,-3.0,0.537,2013-14
New York Knicks,107.0,108.1,-1.1,0.541,2013-14
Oklahoma City Thunder,109.4,103.0,6.4,0.566,2013-14
Orlando Magic,101.0,106.6,-5.7,0.525,2013-14
Philadelphia 76ers,99.0,109.0,-10.0,0.51,2013-14
Phoenix Suns,108.2,105.6,2.6,0.558,2013-14
Portland Trail Blazers,110.4,106.2,4.2,0.548,2013-14
Sacramento Kings,105.1,107.8,-2.7,0.532,2013-14
San Antonio Spurs,109.5,101.4,8.1,0.571,2013-14
Toronto Raptors,107.9,104.6,3.3,0.545,2013-14
Utah Jazz,102.4,110.1,-7.6,0.523,2013-14
Washington Wizards,104.9,103.6,1.3,0.538,2013-14
Atlanta Hawks,108.2,102.3,5.9,0.563,2014-15
Boston Celtics,103.8,103.5,0.3,0.523,2014-15
Brooklyn Nets,103.4,106.3,-3.0,0.529,2014-15
Charlotte Hornets,99.6,103.0,-3.4,0.498,2014-15
Chicago Bulls,106.3,103.3,3.0,0.536,2014-15
Cleveland Cavaliers,110.1,105.3,4.8,0.557,2014-15
Dallas Mavericks,108.2,104.9,3.2,0.55,2014-15
Denver Nuggets,103.9,107.1,-3.3,0.518,2014-15
Detroit Pistons,104.3,105.4,-1.1,0.515,2014-15
Golden State Warriors,110.4,100.4,9.9,0.571,2014-15
Houston Rockets,106.0,102.6,3.4,0.548,2014-15
Indiana Pacers,102.9,102.7,0.2,0.523,2014-15
Los Angeles Clippers,111.6,104.7,6.9,0.565,2014-15
Los Angeles Lakers,102.3,109.4,-7.1,0.513,2014-15
Memphis Grizzlies,104.8,101.2,3.5,0.531,2014-15
Miami Heat,103.2,106.1,-3.0,0.54,2014-15
Milwaukee Bucks,102.0,101.4,0.6,0.536,2014-15
Minnesota Timberwolves,101.8,110.9,-9.1,0.517,2014-15
New Orleans Pelicans,107.1,106.3,0.8,0.537,2014-15
New York Knicks,98.9,109.0,-10.1,0.508,2014-15
Oklahoma City Thunder,106.7,104.6,2.1,0.532,2014-15
Orlando Magic,101.0,106.8,-5.9,0.524,2014-15
Philadelphia 76ers,94.9,103.9,-9.0,0.494,2014-15
Phoenix Suns,104.2,105.3,-1.1,0.537,2014-15
Portland Trail Blazers,107.1,102.8,4.3,0.544,2014-15
Sacramento Kings,104.5,108.2,-3.7,0.542,2014-15
San Antonio Spurs,107.6,101.4,6.3,0.555,2014-15
Toronto Raptors,110.2,107.1,3.1,0.553,2014-15
Utah Jazz,104.2,104.1,0.1,0.531,2014-15
Washington Wizards,103.0,102.4,0.6,0.534,2014-15
Atlanta Hawks,104.6,100.8,3.9,0.552,2015-16
Boston Celtics,105.8,102.5,3.3,0.531,2015-16
Brooklyn Nets,102.4,109.7,-7.4,0.527,2015-16
Charlotte Hornets,106.4,103.7,2.7,0.545,2015-16
Chicago Bulls,104.1,105.5,-1.4,0.526,2015-16
Cleveland Cavaliers,110.2,103.9,6.3,0.558,2015-16
Dallas Mavericks,105.5,105.9,-0.4,0.544,2015-16
Denver Nuggets,104.9,108.2,-3.3,0.531,2015-16
Detroit Pistons,105.3,104.9,0.3,0.522,2015-16
Golden State Warriors,113.5,102.8,10.6,0.593,2015-16
Houston Rockets,107.3,107.3,0.0,0.553,2015-16
Indiana Pacers,103.8,102.2,1.6,0.536,2015-16
LA Clippers,107.2,102.7,4.5,0.556,2015-16
Los Angeles Lakers,100.7,110.3,-9.7,0.509,2015-16
Memphis Grizzlies,104.7,107.1,-2.4,0.524,2015-16
Miami Heat,105.5,103.7,1.7,0.545,2015-16
Milwaukee Bucks,103.4,107.8,-4.5,0.537,2015-16
Minnesota Timberwolves,105.4,109.0,-3.5,0.549,2015-16
New Orleans Pelicans,104.8,108.4,-3.7,0.537,2015-16
New York Knicks,103.9,106.7,-2.8,0.527,2015-16
Oklahoma City Thunder,112.1,104.8,7.4,0.565,2015-16
Orlando Magic,104.4,106.0,-1.6,0.533,2015-16
Philadelphia 76ers,98.4,108.6,-10.2,0.519,2015-16
Phoenix Suns,101.5,107.9,-6.5,0.526,2015-16
Portland Trail Blazers,107.6,106.8,0.8,0.548,2015-16
Sacramento Kings,105.3,107.6,-2.3,0.546,2015-16
San Antonio Spurs,109.3,98.2,11.1,0.564,2015-16
Toronto Raptors,109.3,104.8,4.4,0.552,2015-16
Utah Jazz,105.0,103.2,1.8,0.54,2015-16
Washington Wizards,104.5,105.1,-0.5,0.544,2015-16
Atlanta Hawks,104.5,105.2,-0.7,0.541,2016-17
Boston Celtics,110.6,108.0,2.6,0.567,2016-17
Brooklyn Nets,103.6,110.1,-6.5,0.551,2016-17
Charlotte Hornets,108.4,108.4,0.0,0.547,2016-17
Chicago Bulls,106.5,106.2,0.3,0.53,2016-17
Cleveland Cavaliers,112.8,109.7,3.1,0.58,2016-17
Dallas Mavericks,104.7,107.7,-3.0,0.541,2016-17
Denver Nuggets,112.2,111.7,0.4,0.568,2016-17
Detroit Pistons,105.3,106.7,-1.4,0.521,2016-17
Golden State Warriors,114.8,103.4,11.4,0.597,2016-17
Houston Rockets,114.1,108.4,5.7,0.583,2016-17
Indiana Pacers,107.9,108.1,-0.2,0.558,2016-17
LA Clippers,111.8,107.5,4.4,0.574,2016-17
Los Angeles Lakers,105.3,112.0,-6.7,0.537,2016-17
Memphis Grizzlies,107.0,106.5,0.5,0.535,2016-17
Miami Heat,107.4,106.4,1.0,0.541,2016-17
Milwaukee Bucks,108.5,108.7,-0.2,0.565,2016-17
Minnesota Timberwolves,110.0,110.9,-0.9,0.555,2016-17
New Orleans Pelicans,104.7,106.8,-2.1,0.539,2016-17
New York Knicks,107.1,110.7,-3.6,0.534,2016-17
Oklahoma City Thunder,107.9,107.1,0.8,0.54,2016-17
Orlando Magic,103.7,110.3,-6.5,0.524,2016-17
Philadelphia 76ers,102.7,108.2,-5.5,0.539,2016-17
Phoenix Suns,106.1,111.3,-5.2,0.538,2016-17
Portland Trail Blazers,109.4,110.0,-0.6,0.559,2016-17
Sacramento Kings,106.6,110.8,-4.2,0.556,2016-17
San Antonio Spurs,110.3,102.9,7.4,0.564,2016-17
Toronto Raptors,111.4,107.1,4.3,0.561,2016-17
Utah Jazz,109.0,104.7,4.3,0.563,2016-17
Washington Wizards,110.4,108.8,1.7,0.564,2016-17
Atlanta Hawks,104.4,110.1,-5.7,0.547,2017-18
Boston Celtics,106.8,103.2,3.6,0.552,2017-18
Brooklyn Nets,106.1,109.7,-3.6,0.551,2017-18
Charlotte Hornets,109.0,109.0,-0.1,0.549,2017-18
Chicago Bulls,103.4,110.5,-7.0,0.529,2017-18
Cleveland Cavaliers,112.0,111.1,1.0,0.584,2017-18
Dallas Mavericks,105.4,108.4,-2.9,0.544,2017-18
Denver Nuggets,111.4,110.0,1.4,0.57,2017-18
Detroit Pistons,106.6,106.7,-0.1,0.543,2017-18
Golden State Warriors,112.8,106.8,5.9,0.603,2017-18
Houston Rockets,114.1,105.7,8.4,0.59,2017-18
Indiana Pacers,108.5,107.3,1.3,0.557,2017-18
LA Clippers,109.4,109.2,0.2,0.564,2017-18
Los Angeles Lakers,106.0,107.3,-1.3,0.548,2017-18
Memphis Grizzlies,103.6,110.4,-6.8,0.539,2017-18
Miami Heat,106.2,105.8,0.4,0.551,2017-18
Milwaukee Bucks,109.0,109.1,-0.2,0.571,2017-18
Minnesota Timberwolves,112.5,110.2,2.3,0.566,2017-18
New Orleans Pelicans,108.5,107.4,1.1,0.573,2017-18
New York Knicks,106.3,109.7,-3.4,0.544,2017-18
Oklahoma City Thunder,110.1,106.4,3.7,0.546,2017-18
Orlando Magic,104.7,109.4,-4.7,0.545,2017-18
Philadelphia 76ers,108.5,103.9,4.6,0.568,2017-18
Phoenix Suns,102.8,111.7,-9.0,0.532,2017-18
Portland Trail Blazers,108.4,105.7,2.7,0.549,2017-18
Sacramento Kings,103.1,110.4,-7.3,0.529,2017-18
San Antonio Spurs,107.1,104.1,3.0,0.543,2017-18
Toronto Raptors,113.0,105.3,7.7,0.575,2017-18
Utah Jazz,107.4,103.0,4.4,0.564,2017-18
Washington Wizards,108.1,107.7,0.4,0.56,2017-18
Atlanta Hawks,107.5,113.1,-5.5,0.555,2018-19
Boston Celtics,111.3,107.0,4.3,0.567,2018-19
Brooklyn Nets,108.9,109.0,-0.1,0.556,2018-19
Charlotte Hornets,110.7,112.0,-1.3,0.554,2018-19
Chicago Bulls,104.5,112.8,-8.3,0.541,2018-19
Cleveland Cavaliers,106.8,116.8,-10.0,0.54,2018-19
Dallas Mavericks,108.7,110.1,-1.5,0.555,2018-19
Denver Nuggets,112.1,108.1,4.0,0.558,2018-19
Detroit Pistons,108.4,108.7,-0.3,0.544,2018-19
Golden State Warriors,115.0,108.6,6.5,0.596,2018-19
Houston Rockets,114.9,110.1,4.8,0.581,2018-19
Indiana Pacers,109.4,106.0,3.4,0.561,2018-19
LA Clippers,111.4,110.4,1.0,0.575,2018-19
Los Angeles Lakers,107.4,108.9,-1.6,0.554,2018-19
Memphis Grizzlies,105.6,108.0,-2.4,0.548,2018-19
Miami Heat,106.7,107.1,-0.4,0.542,2018-19
Milwaukee Bucks,113.5,104.9,8.6,0.583,2018-19
Minnesota Timberwolves,110.6,112.2,-1.6,0.552,2018-19
New Orleans Pelicans,110.7,112.0,-1.3,0.563,2018-19
New York Knicks,104.0,112.9,-8.9,0.529,2018-19
Oklahoma City Thunder,109.8,106.5,3.4,0.545,2018-19
Orlando Magic,108.2,107.6,0.6,0.55,2018-19
Philadelphia 76ers,111.6,109.0,2.6,0.574,2018-19
Phoenix Suns,105.3,114.2,-8.9,0.552,2018-19
Portland Trail Blazers,113.7,109.5,4.2,0.568,2018-19
Sacramento Kings,109.6,110.8,-1.2,0.554,2018-19
San Antonio Spurs,112.2,110.6,1.6,0.572,2018-19
Toronto Raptors,112.6,106.8,5.8,0.579,2018-19
Utah Jazz,110.3,105.3,5.0,0.572,2018-19
Washington Wizards,110.2,112.9,-2.7,0.567,2018-19
Atlanta Hawks,107.0,114.4,-7.4,0.554,2019-20
Boston Celtics,112.8,106.5,6.3,0.57,2019-20
Brooklyn Nets,108.7,109.2,-0.5,0.554,2019-20
Charlotte Hornets,105.9,112.8,-7.0,0.539,2019-20
Chicago Bulls,105.8,108.9,-3.1,0.547,2019-20
Cleveland Cavaliers,106.9,114.8,-7.9,0.553,2019-20
Dallas Mavericks,115.9,111.2,4.8,0.581,2019-20
Denver Nuggets,112.6,110.4,2.2,0.567,2019-20
Detroit Pistons,108.8,112.3,-3.5,0.561,2019-20
Golden State Warriors,104.4,113.0,-8.6,0.54,2019-20
Houston Rockets,112.5,109.8,2.7,0.578,2019-20
Indiana Pacers,109.5,107.5,1.9,0.565,2019-20
LA Clippers,113.3,106.9,6.3,0.577,2019-20
Los Angeles Lakers,111.7,106.1,5.6,0.573,2019-20
Memphis Grizzlies,108.7,109.7,-1.0,0.561,2019-20
Miami Heat,111.9,109.3,2.7,0.587,2019-20
Milwaukee Bucks,111.9,102.5,9.4,0.583,2019-20
Minnesota Timberwolves,107.6,111.6,-4.0,0.551,2019-20
New Orleans Pelicans,110.5,111.8,-1.3,0.568,2019-20
New York Knicks,105.9,112.4,-6.5,0.531,2019-20
Oklahoma City Thunder,110.1,108.1,2.1,0.573,2019-20
Orlando Magic,107.9,109.2,-1.3,0.544,2019-20
Philadelphia 76ers,110.7,108.4,2.3,0.566,2019-20
Phoenix Suns,111.3,110.8,0.5,0.576,2019-20
Portland Trail Blazers,113.2,114.3,-1.1,0.57,2019-20
Sacramento Kings,109.5,111.4,-1.9,0.566,2019-20
San Antonio Spurs,111.7,112.6,-0.9,0.572,2019-20
Toronto Raptors,110.8,104.7,6.1,0.574,2019-20
Utah Jazz,111.8,109.3,2.5,0.585,2019-20
Washington Wizards,110.2,114.7,-4.5,0.562,2019-20
Atlanta Hawks,114.3,112.1,2.2,0.581,2020-21
Boston Celtics,113.1,111.8,1.2,0.574,2020-21
Brooklyn Nets,117.3,113.1,4.2,0.61,2020-21
Charlotte Hornets,110.1,112.0,-1.9,0.564,2020-21
Chicago Bulls,110.4,111.5,-1.1,0.575,2020-21
Cleveland Cavaliers,105.2,113.5,-8.3,0.543,2020-21
Dallas Mavericks,114.6,112.3,2.3,0.582,2020-21
Denver Nuggets,116.3,111.5,4.8,0.588,2020-21
Detroit Pistons,107.6,112.2,-4.5,0.556,2020-21
Golden State Warriors,110.5,109.4,1.1,0.583,2020-21
Houston Rockets,107.0,114.4,-7.4,0.553,2020-21
Indiana Pacers,111.9,111.9,0.1,0.575,2020-21
LA Clippers,116.7,110.6,6.1,0.599,2020-21
Los Angeles Lakers,109.8,106.8,2.9,0.569,2020-21
Memphis Grizzlies,111.7,110.5,1.2,0.56,2020-21
Miami Heat,110.6,110.7,-0.1,0.581,2020-21
Milwaukee Bucks,116.5,110.7,5.8,0.593,2020-21
Minnesota Timberwolves,109.3,114.5,-5.3,0.555,2020-21
New Orleans Pelicans,113.0,113.3,-0.3,0.57,2020-21
New York Knicks,110.2,107.8,2.4,0.559,2020-21
Oklahoma City Thunder,102.8,113.4,-10.6,0.539,2020-21
Orlando Magic,104.6,113.9,-9.3,0.527,2020-21
Philadelphia 76ers,112.5,107.0,5.5,0.579,2020-21
Phoenix Suns,116.3,110.4,5.9,0.597,2020-21
Portland Trail Blazers,117.1,115.3,1.8,0.577,2020-21
Sacramento Kings,112.7,116.5,-3.8,0.578,2020-21
San Antonio Spurs,110.5,112.0,-1.5,0.554,2020-21
Toronto Raptors,111.6,112.0,-0.4,0.567,2020-21
Utah Jazz,116.5,107.5,9.0,0.597,2020-21
Washington Wizards,110.7,112.3,-1.6,0.569,2020-21
Atlanta Hawks,115.4,113.7,1.6,0.581,2021-22
Boston Celtics,113.6,106.2,7.4,0.578,2021-22
Brooklyn Nets,113.2,112.3,0.9,0.576,2021-22
Charlotte Hornets,113.6,113.1,0.5,0.572,2021-22
Chicago Bulls,112.7,113.2,-0.5,0.579,2021-22
Cleveland Cavaliers,111.0,108.9,2.1,0.571,2021-22
Dallas Mavericks,112.5,109.1,3.5,0.572,2021-22
Denver Nuggets,113.8,111.5,2.3,0.59,2021-22
Detroit Pistons,105.6,113.3,-7.7,0.533,2021-22
Golden State Warriors,112.1,106.6,5.5,0.582,2021-22
Houston Rockets,108.1,116.4,-8.3,0.565,2021-22
Indiana Pacers,111.9,115.5,-3.6,0.564,2021-22
LA Clippers,109.5,109.5,0.0,0.564,2021-22
Los Angeles Lakers,110.0,112.8,-2.9,0.567,2021-22
Memphis Grizzlies,114.3,108.9,5.3,0.553,2021-22
Miami Heat,113.0,108.4,4.5,0.584,2021-22
Milwaukee Bucks,114.3,111.1,3.2,0.58,2021-22
Minnesota Timberwolves,113.8,111.0,2.7,0.573,2021-22
New Orleans Pelicans,111.2,112.0,-0.8,0.557,2021-22
New York Knicks,109.7,110.2,-0.4,0.55,2021-22
Oklahoma City Thunder,103.8,111.7,-8.0,0.53,2021-22
Orlando Magic,103.9,112.1,-8.1,0.538,2021-22
Philadelphia 76ers,113.0,110.2,2.8,0.578,2021-22
Phoenix Suns,114.2,106.8,7.5,0.581,2021-22
Portland Trail Blazers,107.3,116.3,-9.1,0.55,2021-22
Sacramento Kings,109.6,114.8,-5.2,0.561,2021-22
San Antonio Spurs,111.9,111.7,0.2,0.556,2021-22
Toronto Raptors,112.1,109.9,2.2,0.543,2021-22
Utah Jazz,116.2,110.0,6.2,0.589,2021-22
Washington Wizards,110.2,113.6,-3.4,0.568,2021-22
Atlanta Hawks,115.5,115.4,0.1,0.579,2022-23
Boston Celtics,117.3,110.6,6.7,0.6,2022-23
Brooklyn Nets,114.6,113.5,1.1,0.598,2022-23
Charlotte Hornets,108.4,114.7,-6.3,0.551,2022-23
Chicago Bulls,112.8,111.5,1.3,0.587,2022-23
Cleveland Cavaliers,115.5,109.9,5.6,0.59,2022-23
Dallas Mavericks,115.9,116.1,-0.2,0.599,2022-23
Denver Nuggets,116.8,113.5,3.3,0.601,2022-23
Detroit Pistons,109.9,117.8,-7.9,0.561,2022-23
Golden State Warriors,115.1,113.4,1.7,0.6,2022-23
Houston Rockets,110.5,118.6,-8.1,0.554,2022-23
Indiana Pacers,113.8,117.1,-3.3,0.581,2022-23
LA Clippers,114.0,113.6,0.5,0.588,2022-23
Los Angeles Lakers,113.9,113.2,0.7,0.582,2022-23
Memphis Grizzlies,114.7,110.7,4.0,0.57,2022-23
Miami Heat,112.3,112.8,-0.5,0.574,2022-23
Milwaukee Bucks,114.3,110.9,3.4,0.583,2022-23
Minnesota Timberwolves,113.3,113.1,0.2,0.592,2022-23
New Orleans Pelicans,113.8,112.0,1.9,0.582,2022-23
New York Knicks,117.0,114.2,2.8,0.577,2022-23
Oklahoma City Thunder,114.2,113.2,1.0,0.57,2022-23
Orlando Magic,111.3,113.7,-2.3,0.573,2022-23
Philadelphia 76ers,117.0,112.7,4.4,0.608,2022-23
Phoenix Suns,114.5,112.3,2.2,0.57,2022-23
Portland Trail Blazers,114.0,118.0,-4.0,0.589,2022-23
Sacramento Kings,118.6,116.0,2.6,0.608,2022-23
San Antonio Spurs,109.7,119.6,-9.9,0.554,2022-23
Toronto Raptors,114.6,113.1,1.5,0.555,2022-23
Utah Jazz,115.3,116.0,-0.7,0.584,2022-23
Washington Wizards,113.7,114.9,-1.2,0.585,2022-23
Atlanta Hawks,116.4,118.4,-2.0,0.576,2023-24
Boston Celtics,122.2,110.6,11.7,0.609,2023-24
Brooklyn Nets,112.4,115.4,-2.9,0.561,2023-24
Charlotte Hornets,108.6,119.2,-10.6,0.56,2023-24
Chicago Bulls,114.0,115.7,-1.7,0.568,2023-24
Cleveland Cavaliers,114.7,112.1,2.5,0.586,2023-24
Dallas Mavericks,117.0,114.9,2.1,0.592,2023-24
Denver Nuggets,117.8,112.3,5.5,0.589,2023-24
Detroit Pistons,109.0,118.0,-9.0,0.562,2023-24
Golden State Warriors,116.9,114.5,2.4,0.586,2023-24
Houston Rockets,113.7,112.8,0.9,0.565,2023-24
Indiana Pacers,120.5,117.6,2.9,0.606,2023-24
LA Clippers,117.9,114.6,3.4,0.599,2023-24
Los Angeles Lakers,115.4,114.8,0.6,0.601,2023-24
Memphis Grizzlies,106.8,113.7,-6.9,0.543,2023-24
Miami Heat,113.3,111.5,1.8,0.578,2023-24
Milwaukee Bucks,117.6,115.0,2.6,0.601,2023-24
Minnesota Timberwolves,114.6,108.4,6.3,0.594,2023-24
New Orleans Pelicans,116.5,111.9,4.6,0.591,2023-24
New York Knicks,117.3,112.4,4.9,0.574,2023-24
Oklahoma City Thunder,118.3,111.0,7.3,0.608,2023-24
Orlando Magic,112.9,110.8,2.2,0.577,2023-24
Philadelphia 76ers,116.2,113.0,3.1,0.574,2023-24
Phoenix Suns,116.8,113.7,3.1,0.603,2023-24
Portland Trail Blazers,107.6,116.6,-9.0,0.539,2023-24
Sacramento Kings,116.2,114.4,1.8,0.582,2023-24
San Antonio Spurs,109.3,115.6,-6.4,0.563,2023-24
Toronto Raptors,111.8,118.1,-6.3,0.566,2023-24
Utah Jazz,114.5,119.6,-5.1,0.579,2023-24
Washington Wizards,110.2,118.9,-8.7,0.567,2023-24
